,Price,Category,Beds,Baths,Area,Plot_size,Address,Broker,URL
72,"$369,999",Condo for sale,3,2.5,"1,860sqft
1,860 square feet",,"5728 Tripoli Dr, Palmetto, FL 34221",Built by M/I Homes,https://www.realtor.com/realestateandhomes-detail/5728-Tripoli-Dr_Palmetto_FL_34221_M93372-79551
73,"$358,490",House for sale,4,3,"2,001sqft
2,001 square feet",,"8967 Crowned Eagle Dr, Leesburg, FL 34788",Built by Stanley Martin Homes,https://www.realtor.com/realestateandhomes-detail/8967-Crowned-Eagle-Dr_Leesburg_FL_34788_M94291-86411
74,"$273,900",House for sale,3,2,"1,398sqft
1,398 square feet",,"6599 Kettles St, Panama City, FL 32404",Built by D.R. Horton - Panama City East,https://www.realtor.com/realestateandhomes-detail/6599-Kettles-St_Panama-City_FL_32404_M92804-30212
75,"$370,294",House for sale,3,2.5,"1,515sqft
1,515 square feet",,"1472 Erin Breeze Ln, Kissimmee, FL 34744",Built by Richmond American Homes,https://www.realtor.com/realestateandhomes-detail/1472-Erin-Breeze-Ln_Kissimmee_FL_34744_M91950-83863
76,"$279,900",House for sale,3,2,"1,427sqft
1,427 square feet",,"6538 Canley Ct, Panama City, FL 32404",Built by D.R. Horton - Panama City East,https://www.realtor.com/realestateandhomes-detail/6538-Canley-Ct_Panama-City_FL_32404_M91657-51656
77,"$274,990",House for sale,3,2,"1,222sqft
1,222 square feet",,"128 Hulett Woods Rd, Palm Coast, FL 32137",Built by D.R. Horton - Jacksonville South,https://www.realtor.com/realestateandhomes-detail/128-Hulett-Woods-Rd_Palm-Coast_FL_32137_M93316-15610
78,"$469,990",Condo for sale,3,2.5,"1,691sqft
1,691 square feet",,"9249 Gran Teatro Dr, Winter Garden, FL 34787",Built by M/I Homes,https://www.realtor.com/realestateandhomes-detail/9249-Gran-Teatro-Dr_Winter-Garden_FL_34787_M90334-73988
79,"$554,990",House for sale,5,3,"2,934sqft
2,934 square feet",,"18125 Fattoria Ter, Bradenton, FL 34211",Built by D.R. Horton - Sarasota,https://www.realtor.com/realestateandhomes-detail/18125-Fattoria-Ter_Bradenton_FL_34211_M95706-03744
80,"$348,640",Condo for sale,3,2.5,"1,588sqft
1,588 square feet",,"5417 Tripoli Dr, Palmetto, FL 34221",Built by M/I Homes,https://www.realtor.com/realestateandhomes-detail/5417-Tripoli-Dr_Palmetto_FL_34221_M93421-63797
81,"$493,990",House for sale,5,3,"2,663sqft
2,663 square feet",,"5385 Hayloft Dr, Apopka, FL 32712",Built by D.R. Horton - Orlando South,https://www.realtor.com/realestateandhomes-detail/5385-Hayloft-Dr_Apopka_FL_32712_M92815-94242
82,"$389,770",Condo for sale,3,2.5,"1,860sqft
1,860 square feet",,"5429 Tripoli Dr, Palmetto, FL 34221",Built by M/I Homes,https://www.realtor.com/realestateandhomes-detail/5429-Tripoli-Dr_Palmetto_FL_34221_M91053-27650
83,From,House for sale,4,2,"1,840sqft
1,840 square feet",,"Foxglove Plan, The Reserve at Van Oaks Community, Auburndale, FL 33823",Built by Meritage Homes,https://www.realtor.com/realestateandhomes-detail/Foxglove_The-Reserve-at-Van-Oaks_1049-Oak-Valley-Drive_Auburndale_FL_33823_P417000636165
84,"$391,999",House for sale,3,2,"1,504sqft
1,504 square feet",,"11175 Sunset Preserve Dr, Lehigh Acres, FL 33971",Built by D.R. Horton - Southwest Florida,https://www.realtor.com/realestateandhomes-detail/11175-Sunset-Preserve-Dr_Lehigh-Acres_FL_33917_M98240-93535
85,"$257,900",Townhouse for sale,3,2.5,"1,553sqft
1,553 square feet",,"7182 Village Ln, Pensacola, FL 32504",Built by D.R. Horton - Pensacola West,https://www.realtor.com/realestateandhomes-detail/7182-Village-Ln_Pensacola_FL_32504_M90301-56553
86,"$237,900",Townhouse for sale,3,2.5,"1,537sqft
1,537 square feet",,"7162 Village Ln, Pensacola, FL 32504",Built by D.R. Horton - Pensacola West,https://www.realtor.com/realestateandhomes-detail/7162-Village-Ln_Pensacola_FL_32504_M92219-67956
87,"$489,990",House for sale,4,3,"2,756sqft
2,756 square feet",,"3616 Turning Tides Ter, Bradenton, FL 34208",Built by D.R. Horton - Sarasota,https://www.realtor.com/realestateandhomes-detail/3616-Turning-Tides-Ter_Bradenton_FL_34208_M95565-94545
88,"$237,900",Townhouse for sale,3,2.5,"1,537sqft
1,537 square feet",,"7166 Village Ln, Pensacola, FL 32504",Built by D.R. Horton - Pensacola West,https://www.realtor.com/realestateandhomes-detail/7166-Village-Ln_Pensacola_FL_32504_M93458-07875
89,"$348,640",Condo for sale,3,2.5,"1,588sqft
1,588 square feet",,"5421 Tripoli Dr, Palmetto, FL 34221",Built by M/I Homes,https://www.realtor.com/realestateandhomes-detail/5421-Tripoli-Dr_Palmetto_FL_34221_M92523-51179
90,"$348,640",Condo for sale,3,2.5,"1,588sqft
1,588 square feet",,"5413 Tripoli Dr, Palmetto, FL 34221",Built by M/I Homes,https://www.realtor.com/realestateandhomes-detail/5413-Tripoli-Dr_Palmetto_FL_34221_M93079-17892
91,"$609,000",House for sale,4,3,"2,085sqft
2,085 square feet",,"696 SE 17th Ave, Homestead, FL 33033",Built by D.R. Horton - Southeast Florida,https://www.realtor.com/realestateandhomes-detail/696-SE-17th-Ave_Homestead_FL_33033_M91642-69583
92,"$329,990",House for sale,3,2.5,"1,961sqft
1,961 square feet",,"31083 Silver Stage Dr, Brooksville, FL 34602",Built by D.R. Horton - West Central Florida,https://www.realtor.com/realestateandhomes-detail/31083-Silver-Stage-Dr_Brooksville_FL_34602_M95840-33169
93,"$439,999",Condo for sale,3,2.5,"1,706sqft
1,706 square feet",,"1848 Prop Ln, Sarasota, FL 34240",Built by M/I Homes,https://www.realtor.com/realestateandhomes-detail/1848-Prop-Ln_Sarasota_FL_34240_M92414-70547
94,"$273,900",House for sale,3,2,"1,398sqft
1,398 square feet",,"6615 Kettles St, Panama City, FL 32404",Built by D.R. Horton - Panama City East,https://www.realtor.com/realestateandhomes-detail/6615-Kettles-St_Panama-City_FL_32404_M91671-01692
95,"$699,990",House for sale,5,4,"3,316sqft
3,316 square feet",,"10710 New Morning Dr, Tampa, FL 33647",Built by M/I Homes,https://www.realtor.com/realestateandhomes-detail/10710-New-Morning-Dr_Tampa_FL_33647_M92366-16804
96,"$570,245",House for sale,5,3,"2,800sqft
2,800 square feet",,"1446 Maddie Berry Ln, Kissimmee, FL 34744",Built by Richmond American Homes,https://www.realtor.com/realestateandhomes-detail/1446-Maddie-Berry-Ln_Kissimmee_FL_34744_M92319-55061
97,"$449,999",Condo for sale,3,2.5,"1,702sqft
1,702 square feet",,"1904 Swivel Ln, Sarasota, FL 34240",Built by M/I Homes,https://www.realtor.com/realestateandhomes-detail/1904-Swivel-Ln_Sarasota_FL_34240_M97501-93473
98,"$429,990",Condo for sale,3,2.5,"1,729sqft
1,729 square feet",,"4647 Campsite Loop, Orlando, FL 32824",Built by M/I Homes,https://www.realtor.com/realestateandhomes-detail/4647-Campsite-Loop_Orlando_FL_32824_M93129-70167
99,"$319,999",Condo for sale,3,2.5,"1,588sqft
1,588 square feet",,"5443 Tripoli Dr, Palmetto, FL 34221",Built by M/I Homes,https://www.realtor.com/realestateandhomes-detail/5443-Tripoli-Dr_Palmetto_FL_34221_M92947-25528
