Price($),Category,Bedrooms,Bathrooms,Area(sqft),Plot_size(sqft),Address,Broker,URL,ZIP,Place_name
389770.0,Condo,3,2.5,1860.0,,"5429 Tripoli Dr, Palmetto, FL 34221",M/I Homes,https://www.realtor.com/realestateandhomes-detail/5429-Tripoli-Dr_Palmetto_FL_34221_M91053-27650,34221.0,Palmetto
391999.0,House,3,2,1504.0,,"11175 Sunset Preserve Dr, Lehigh Acres, FL 33971",D.R. Horton - Southwest Florida,https://www.realtor.com/realestateandhomes-detail/11175-Sunset-Preserve-Dr_Lehigh-Acres_FL_33917_M98240-93535,33971.0,Lehigh Acres
257900.0,Townhouse,3,2.5,1553.0,,"7182 Village Ln, Pensacola, FL 32504",D.R. Horton - Pensacola West,https://www.realtor.com/realestateandhomes-detail/7182-Village-Ln_Pensacola_FL_32504_M90301-56553,32504.0,Pensacola
237900.0,Townhouse,3,2.5,1537.0,,"7162 Village Ln, Pensacola, FL 32504",D.R. Horton - Pensacola West,https://www.realtor.com/realestateandhomes-detail/7162-Village-Ln_Pensacola_FL_32504_M92219-67956,32504.0,Pensacola
489990.0,House,4,3,2756.0,,"3616 Turning Tides Ter, Bradenton, FL 34208",D.R. Horton - Sarasota,https://www.realtor.com/realestateandhomes-detail/3616-Turning-Tides-Ter_Bradenton_FL_34208_M95565-94545,34208.0,Bradenton
237900.0,Townhouse,3,2.5,1537.0,,"7166 Village Ln, Pensacola, FL 32504",D.R. Horton - Pensacola West,https://www.realtor.com/realestateandhomes-detail/7166-Village-Ln_Pensacola_FL_32504_M93458-07875,32504.0,Pensacola
348640.0,Condo,3,2.5,1588.0,,"5421 Tripoli Dr, Palmetto, FL 34221",M/I Homes,https://www.realtor.com/realestateandhomes-detail/5421-Tripoli-Dr_Palmetto_FL_34221_M92523-51179,34221.0,Palmetto
348640.0,Condo,3,2.5,1588.0,,"5413 Tripoli Dr, Palmetto, FL 34221",M/I Homes,https://www.realtor.com/realestateandhomes-detail/5413-Tripoli-Dr_Palmetto_FL_34221_M93079-17892,34221.0,Palmetto
609000.0,House,4,3,2085.0,,"696 SE 17th Ave, Homestead, FL 33033",D.R. Horton - Southeast Florida,https://www.realtor.com/realestateandhomes-detail/696-SE-17th-Ave_Homestead_FL_33033_M91642-69583,33033.0,Homestead
329990.0,House,3,2.5,1961.0,,"31083 Silver Stage Dr, Brooksville, FL 34602",D.R. Horton - West Central Florida,https://www.realtor.com/realestateandhomes-detail/31083-Silver-Stage-Dr_Brooksville_FL_34602_M95840-33169,34602.0,Brooksville
439999.0,Condo,3,2.5,1706.0,,"1848 Prop Ln, Sarasota, FL 34240",M/I Homes,https://www.realtor.com/realestateandhomes-detail/1848-Prop-Ln_Sarasota_FL_34240_M92414-70547,34240.0,Sarasota
273900.0,House,3,2,1398.0,,"6615 Kettles St, Panama City, FL 32404",D.R. Horton - Panama City East,https://www.realtor.com/realestateandhomes-detail/6615-Kettles-St_Panama-City_FL_32404_M91671-01692,32404.0,Panama City
699990.0,House,5,4,3316.0,,"10710 New Morning Dr, Tampa, FL 33647",M/I Homes,https://www.realtor.com/realestateandhomes-detail/10710-New-Morning-Dr_Tampa_FL_33647_M92366-16804,33647.0,Tampa
570245.0,House,5,3,2800.0,,"1446 Maddie Berry Ln, Kissimmee, FL 34744",Richmond American Homes,https://www.realtor.com/realestateandhomes-detail/1446-Maddie-Berry-Ln_Kissimmee_FL_34744_M92319-55061,34744.0,Kissimmee
449999.0,Condo,3,2.5,1702.0,,"1904 Swivel Ln, Sarasota, FL 34240",M/I Homes,https://www.realtor.com/realestateandhomes-detail/1904-Swivel-Ln_Sarasota_FL_34240_M97501-93473,34240.0,Sarasota
429990.0,Condo,3,2.5,1729.0,,"4647 Campsite Loop, Orlando, FL 32824",M/I Homes,https://www.realtor.com/realestateandhomes-detail/4647-Campsite-Loop_Orlando_FL_32824_M93129-70167,32824.0,Orlando
319999.0,Condo,3,2.5,1588.0,,"5443 Tripoli Dr, Palmetto, FL 34221",M/I Homes,https://www.realtor.com/realestateandhomes-detail/5443-Tripoli-Dr_Palmetto_FL_34221_M92947-25528,34221.0,Palmetto
536990.0,House,4,3.5,2768.0,,"4368 SW 59th Pl, Gainesville, FL 32608",D.R. Horton - West Central Florida,https://www.realtor.com/realestateandhomes-detail/4368-SW-59th-Pl_Gainesville_FL_32608_M95276-40306,32608.0,Gainesville
595714.0,House,3,2,2014.0,,"4110 Pegasus Way, Naples, FL 34120",Neal Communities,https://www.realtor.com/realestateandhomes-detail/4110-Pegasus-Way_Naples_FL_34120_M92637-19047,34120.0,Naples
364413.0,House,4,3,2070.0,,"3104 Kacee Dr, Eagle Lake, FL 33839",Richmond American Homes,https://www.realtor.com/realestateandhomes-detail/3104-Kacee-Dr_Eagle-Lake_FL_33839_M92259-73012,33839.0,Eagle Lake
447295.0,Condo,3,2.5,1853.0,,"326 Via Anina Dr, Sarasota, FL 34243",M/I Homes,https://www.realtor.com/realestateandhomes-detail/326-Via-Anina-Dr_Sarasota_FL_34243_M92217-35885,34243.0,Sarasota
439999.0,Condo,3,2.5,1706.0,,"1848 Prop Ln, Sarasota, FL 34240",M/I Homes,https://www.realtor.com/realestateandhomes-detail/1848-Prop-Ln_Sarasota_FL_34240_M92414-70547,34240.0,Sarasota
273900.0,House,3,2,1398.0,,"6615 Kettles St, Panama City, FL 32404",D.R. Horton - Panama City East,https://www.realtor.com/realestateandhomes-detail/6615-Kettles-St_Panama-City_FL_32404_M91671-01692,32404.0,Panama City
699990.0,House,5,4,3316.0,,"10710 New Morning Dr, Tampa, FL 33647",M/I Homes,https://www.realtor.com/realestateandhomes-detail/10710-New-Morning-Dr_Tampa_FL_33647_M92366-16804,33647.0,Tampa
570245.0,House,5,3,2800.0,,"1446 Maddie Berry Ln, Kissimmee, FL 34744",Richmond American Homes,https://www.realtor.com/realestateandhomes-detail/1446-Maddie-Berry-Ln_Kissimmee_FL_34744_M92319-55061,34744.0,Kissimmee
429990.0,Condo,3,2.5,1729.0,,"4647 Campsite Loop, Orlando, FL 32824",M/I Homes,https://www.realtor.com/realestateandhomes-detail/4647-Campsite-Loop_Orlando_FL_32824_M93129-70167,32824.0,Orlando
466604.0,House,4,2.5,2356.0,,"1976 Heart Lake Dr, Groveland, FL 34737",Trinity Family Builders,https://www.realtor.com/realestateandhomes-detail/1976-Heart-Lake-Dr_Groveland_FL_34737_M94120-29689,34737.0,Howey In The Hills
319999.0,Condo,3,2.5,1588.0,,"5443 Tripoli Dr, Palmetto, FL 34221",M/I Homes,https://www.realtor.com/realestateandhomes-detail/5443-Tripoli-Dr_Palmetto_FL_34221_M92947-25528,34221.0,Palmetto
595714.0,House,3,2,2014.0,,"4110 Pegasus Way, Naples, FL 34120",Neal Communities,https://www.realtor.com/realestateandhomes-detail/4110-Pegasus-Way_Naples_FL_34120_M92637-19047,34120.0,Naples
364413.0,House,4,3,2070.0,,"3104 Kacee Dr, Eagle Lake, FL 33839",Richmond American Homes,https://www.realtor.com/realestateandhomes-detail/3104-Kacee-Dr_Eagle-Lake_FL_33839_M92259-73012,33839.0,Eagle Lake
369999.0,Condo,2,2.5,1571.0,,"258 Via Anina Dr, Sarasota, FL 34243",M/I Homes,https://www.realtor.com/realestateandhomes-detail/258-Via-Anina-Dr_Sarasota_FL_34243_M99529-15291,34243.0,Sarasota
447295.0,Condo,3,2.5,1853.0,,"326 Via Anina Dr, Sarasota, FL 34243",M/I Homes,https://www.realtor.com/realestateandhomes-detail/326-Via-Anina-Dr_Sarasota_FL_34243_M92217-35885,34243.0,Sarasota
507000.0,Condo,3,2.5,1850.0,,"7484 Cabin Ln, Sarasota, FL 34240",M/I Homes,https://www.realtor.com/realestateandhomes-detail/7484-Cabin-Ln_Sarasota_FL_34240_M93588-01686,34240.0,Sarasota
237900.0,Townhouse,3,2.5,1537.0,,"7178 Village Ln, Pensacola, FL 32504",D.R. Horton - Pensacola West,https://www.realtor.com/realestateandhomes-detail/7178-Village-Ln_Pensacola_FL_32504_M93733-25779,32504.0,Pensacola
447295.0,Condo,3,2.5,1853.0,,"338 Via Anina Dr, Sarasota, FL 34243",M/I Homes,https://www.realtor.com/realestateandhomes-detail/338-Via-Anina-Dr_Sarasota_FL_34243_M92190-56756,34243.0,Sarasota
894990.0,House,5,4,3833.0,,"2738 Ravencliffe Ter, Oviedo, FL 32765",M/I Homes,https://www.realtor.com/realestateandhomes-detail/2738-Ravencliffe-Ter_Oviedo_FL_32765_M92373-11305,32765.0,Oviedo
614000.0,House,4,2.5,2470.0,,"6022 SE Violet Ln, Stuart, FL 34997",D.R. Horton - Southeast Florida,https://www.realtor.com/realestateandhomes-detail/6022-SE-Violet-Ln_Stuart_FL_34997_M93828-65356,34997.0,Stuart
524230.0,Condo,3,2.5,2153.0,,"342 Via Anina Dr, Sarasota, FL 34243",M/I Homes,https://www.realtor.com/realestateandhomes-detail/342-Via-Anina-Dr_Sarasota_FL_34243_M93544-39526,34243.0,Sarasota
688053.0,House,4,3.5,2595.0,,"2525 SW 121st Way, Gainesville, FL 32608",ICI Homes,https://www.realtor.com/realestateandhomes-detail/2525-SW-121st-Way_Gainesville_FL_32608_M93024-58088,32608.0,Gainesville
689990.0,House,4,3.5,2835.0,,"10658 New Morning Dr, Tampa, FL 33647",M/I Homes,https://www.realtor.com/realestateandhomes-detail/10658-New-Morning-Dr_Tampa_FL_33647_M91837-94901,33647.0,Tampa
352990.0,House,4,2,1806.0,,"174 Fayetteville St SW, Palm Bay, FL 32908",Holiday Builders,https://www.realtor.com/realestateandhomes-detail/174-Fayetteville-St-SW_Palm-Bay_FL_32908_M92821-39300,32908.0,Palm Bay
572535.0,House,4,3.5,2384.0,,"1283 Whispering Ln, Minneola, FL 34715",Ryan Homes,https://www.realtor.com/realestateandhomes-detail/1283-Whispering-Ln_Minneola_FL_34715_M92789-20367,34715.0,Clermont
